#DEG_AC	#Gene_Name	#Gene_Ref	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG20010113	DBP10	GI:6320173	-	-	Putative ATP-dependent RNA helicase of the DEAD-box protein family, constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010114	PRP11	GI:6320161	-	-	Subunit of the SF3a splicing factor complex, required for spliceosome assembly	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010115	FAD1	GI:6320159	-	-	Flavin adenine dinucleotide (FAD) synthetase, performs the second step in synthesis of FAD from riboflavin	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010116	PSA1	GI:6320148	-	-	GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010117	USO1	GI:6320145	-	-	Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010118	TSR1	GI:6320143	-	-	Protein required for processing of 20S pre-rRNA in the cytoplasm, associates with pre-40S ribosomal particles	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010119	UBC9	GI:6320139	-	-	SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010120	COX9	GI:6320136	-	-	Subunit VIIa of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010121	SUB2	GI:6320119	-	-	Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010122	LUC7	GI:6320116	-	-	Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010123	SRP14	GI:6320111	-	-	Signal recognition particle (SRP) subunit, interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010124	RPN6	GI:6320106	-	-	Essential, non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010125	SNU23	GI:6320105	-	-	Component of U4/U6.U5 snRNP involved in mRNA splicing via spliceosome	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010126	POL3	GI:6320101	-	-	Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis, intragenic recombination, repair of double strand DNA breaks, and DNA replication during nucleotide excision repair (NER)	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010127	QRI1	GI:6320100	-	-	UDP-N-acetylglucosamine pyrophosphorylase, catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010128	NSE4	GI:6320098	-	-	Nuclear protein that plays a role in the function of the Smc5p-Rhc18p complex	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010129	KIN28	GI:6320095	-	-	Serine/threonine protein kinase, subunit of the transcription factor TFIIH; involved in transcription initiation at RNA polymerase II promoters	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010130	RRP42	GI:6320092	-	-	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp42p (EXOSC7)	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010131	YFH1	GI:6320083	-	-	Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog is mutated in Friedrich's ataxia	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010132	CDC48	GI:6320077	-	-	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97; in a complex with Npl4p and Ufd1p participates in retrotranslocation of ubiquitinated proteins from the ER into the cytosol for degradation by the proteasome	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010133	CDC53	GI:6320070	-	-	Cullin, structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010134	SCM3	GI:37362629	-	-	Nonhistone component of centromeric chromatin that binds stoichiometrically to CenH3-H4 histones, required for kinetochore assembly; contains nuclear export signal (NES); required for G2/M progression and localization of Cse4p	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010135	RPO21	GI:6320061	-	-	RNA polymerase II largest subunit B220, part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010136	BPL1	GI:6320060	-	-	Biotin:apoprotein ligase, covalently modifies proteins with the addition of biotin, required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010137	CCT4	GI:6320058	-	-	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010138	COP1	GI:6320056	-	-	Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010139	RPN5	GI:6320054	-	-	Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit, Rpn7p	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010140	NOP14	GI:6320053	-	-	Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010141	RPC53	GI:6320050	-	-	RNA polymerase III subunit C53	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010142	SAS10	GI:6320049	-	-	Essential subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit; disrupts silencing when overproduced	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010143	CLB3	GI:6320046	-	-	B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010144	CDC9	GI:6320038	-	-	DNA ligase found in the nucleus and mitochondria, an essential enzyme that joins Okazaki fragments during DNA replication; also acts in nucleotide excision repair, base excision repair, and recombination	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010145	CDC36	GI:6320036	-	-	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010146	FAP7	GI:6320035	-	-	Essential NTPase required for small ribosome subunit synthesis, mediates processing of the 20S pre-rRNA at site D in the cytoplasm but associates only transiently with 43S preribosomes via Rps14p, may be the endonuclease for site D	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010147	NUS1	GI:6320008	-	-	Putative prenyltransferase, required for cell viability; proposed to be involved in protein trafficking because tet-repressible mutant shows accumulation of hypoglycosylated forms of CPY	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010148	SEC31	GI:6320006	-	-	Essential phosphoprotein component (p150) of the COPII coat of secretory pathway vesicles, in complex with Sec13p; required for ER-derived transport vesicle formation	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010149	HEM3	GI:6319996	-	-	Porphobilinogen deaminase, catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in heme biosynthesis; localizes to the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p, but not by levels of heme	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010150	GLE1	GI:6319994	-	-	Cytoplasmic nucleoporin required for polyadenylated RNA export but not for protein import; component of Nup82p nuclear pore subcomplex; contains a nuclear export signal	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010151	NHP2	GI:82795243	-	-	Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010152	CWC2	GI:6319992	-	-	Protein involved in pre-mRNA splicing, component of a complex containing Cef1p; interacts with Prp19p; contains an RNA recognition motif; has similarity to S. pombe Cwf2p	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010153	SHR3	GI:6319989	-	-	Endoplasmic reticulum packaging chaperone, required for incorporation of amino acid permeases into COPII coated vesicles for transport to the cell surface	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010154	TIM22	GI:6319984	-	-	Component of the mitochondrial Tim54p-Tim22p complex involved in insertion of polytopic proteins into the inner membrane	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010155	CDC13	GI:6319981	-	-	Single stranded DNA-binding protein found at TG1-3 telomere G-tails; regulates telomere replication through recruitment of specific sub-complexes, but the essential function is telomere capping	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010156	YPD1	GI:6319966	-	-	Phosphorelay intermediate protein, phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010157	YRB1	GI:6320205	-	-	Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010158	PSF1	GI:6320216	-	-	Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010159	DAD1	GI:6320219	-	-	Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010160	FAL1	GI:6320224	-	-	Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010161	SES1	GI:6320226	-	-	Cytosolic seryl-tRNA synthetase, class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010162	KRS1	GI:6320242	-	-	Lysyl-tRNA synthetase	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010163	RSM10	GI:6320246	-	-	Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010164	HEM13	GI:6320249	-	-	Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p)	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010165	RPC11	GI:6320250	-	-	RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010166	HEM12	GI:6320252	-	-	Uroporphyrinogen decarboxylase, catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010167	TPI1	GI:6320255	-	-	Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010168	DBF4	GI:6320258	-	-	Regulatory subunit of Cdc7p-Dbf4p kinase complex, required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010169	CDC34	GI:6320259	-	-	Ubiquitin-conjugating enzyme (E2) and catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010170	MAK21	GI:6320265	-	-	Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein	Saccharomyces cerevisiae	NC_001136	Rich medium
