UniProtKB	DIP	Entry.name	Protein.names	Gene.names	Length	Gene.names.ORF	Gene.names.ordered.locus	Gene.names.synonym	Gene.names.primary	Cross.ref.RefSeq	Cross.ref.EnsembleFungi	Cross.ref.GeneID	Cross.ref.CYGD	Cross.ref.SGD	Probe.Set.IDs
P42073	DIP-871N	REF2_YEAST	RNA end formation protein 2	REF2 YDR195W YD9346.06	533	YD9346.06	YDR195W	---	REF2	NP_010481.3;	YDR195W;	851776;	YDR195w;	S000002603;	6297_at
P32578	DIP-777N	SIP1_YEAST	SNF1 protein kinase subunit beta-1 (SNF1-interacting protein 1)	SIP1 YDR422C D9461.11	815	D9461.11	YDR422C	---	SIP1	NP_010710.4;	YDR422C;	852032;	---	S000002830;	6028_at
P22543	DIP-97N	VPS34_YEAST	Phosphatidylinositol 3-kinase VPS34 (PI3-kinase VPS34) (PI3K VPS34) (PtdIns-3-kinase VPS34) (EC 2.7.1.137) (Carboxypeptidase Y-deficient protein 15) (Vacuolar protein sorting-associated protein 34) (Vacuolar protein-targeting protein 29)	VPS34 END12 PEP15 VPL7 VPT29 YLR240W L9672.10	875	L9672.10	YLR240W	END12 PEP15 VPL7 VPT29	VPS34	NP_013341.1;	YLR240W;	850941;	YLR240w;	S000004230;	10088_at
P22219	DIP-814N	VPS15_YEAST	Serine/threonine-protein kinase VPS15 (EC 2.7.11.1) (Golgi-retention defective mutant protein 8) (Vacuolar protein sorting-associated protein 15)	VPS15 GRD8 VAC4 VPL19 YBR097W YBR0825	1454	YBR0825	YBR097W	GRD8 VAC4 VPL19	VPS15	NP_009655.2;	YBR097W;	852394;	---	S000000301;	7278_at
P33750	DIP-746N	DCA13_YEAST	Protein SOF1 (U3 small nucleolar RNA-associated protein SOF1) (U3 snoRNA-associated protein SOF1)	SOF1 YLL011W L1339	489	L1339	YLL011W	---	SOF1	NP_013090.1;	YLL011W;	850649;	YLL011w;	S000003934;	10332_at
P15646	DIP-698N	FBRL_YEAST	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (U3 small nucleolar RNA-associated protein NOP1) (Nucleolar protein 1) (U3 snoRNA-associated protein NOP1)	NOP1 LOT3 YDL014W D2870	327	D2870	YDL014W	LOT3	NOP1	NP_010270.1;	YDL014W;	851548;	YDL014w;	S000002172;	6493_at
P26309	DIP-982N	CDC20_YEAST	APC/C activator protein CDC20 (Cell division control protein 20)	CDC20 YGL116W	610	---	YGL116W	---	CDC20	NP_011399.1;	YGL116W;	852762;	YGL116w;	S000003084;	5126_at
P40957	DIP-293N	MAD1_YEAST	Spindle assembly checkpoint component MAD1 (Mitotic arrest deficient protein 1)	MAD1 YGL086W	749	---	YGL086W	---	MAD1	NP_011429.3;	YGL086W;	852794;	YGL086w;	S000003054;	5111_at
P40958	DIP-815N	MAD2_YEAST	Mitotic spindle checkpoint component MAD2 (Mitotic MAD2 protein)	MAD2 YJL030W J1256	196	J1256	YJL030W	---	MAD2	NP_012504.3;	YJL030W;	853422;	YJL030w;	S000003567;	11037_at
P18851	DIP-954N	GBB_YEAST	Guanine nucleotide-binding protein subunit beta	STE4 YOR212W YOR50-2	423	YOR50-2	YOR212W	---	STE4	NP_014855.3;	YOR212W;	854387;	YOR212w;	S000005738;	8323_at
P18852	DIP-314N	GBG_YEAST	Guanine nucleotide-binding protein subunit gamma	STE18 YJR086W J1866	110	J1866	YJR086W	---	STE18	NP_012619.1;	YJR086W;	853548;	YJR086w;	S000003846;	10925_at
P08539	DIP-15N	GPA1_YEAST	Guanine nucleotide-binding protein alpha-1 subunit (GP1-alpha)	GPA1 CDC70 DAC1 SCG1 YHR005C	472	---	YHR005C	CDC70 DAC1 SCG1	GPA1	NP_011868.1;	YHR005C;	856394;	---	S000001047;	4522_at;4523_at
P34087	DIP-725N	RPB7_YEAST	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (B16)	RPB7 YDR404C D9509.22	171	D9509.22	YDR404C	---	RPB7	NP_010692.3;	YDR404C;	852013;	YDR404c;	S000002812;	6055_at
P20433	DIP-55N	RPB4_YEAST	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (B32) (DNA-directed RNA polymerase II 32 kDa polypeptide)	RPB4 YJL140W J0654	221	J0654	YJL140W	---	RPB4	NP_012395.1;	YJL140W;	853301;	YJL140w;	S000003676;	11154_at
P32835	DIP-747N	GSP1_YEAST	GTP-binding nuclear protein GSP1/CNR1 (Chromosome stability protein 17) (GTPase Ran homolog) (Genetic suppressor of PRP20-1)	GSP1 CNR1 CST17 YLR293C L8003.19	219	L8003.19	YLR293C	CNR1 CST17	GSP1	NP_013396.1;	YLR293C;	851000;	YLR293c;	S000004284;	10053_at
P41920	DIP-838N	YRB1_YEAST	Ran-specific GTPase-activating protein 1 (Chromosome stability protein 20) (Perinuclear array-localized protein) (Ran-binding protein 1) (RANBP1)	YRB1 CST20 HTN1 SFO1 YDR002W YD8119.08	201	YD8119.08	YDR002W	CST20 HTN1 SFO1	YRB1	NP_010285.1;	YDR002W;	851565;	YDR002w;	S000002409;	6463_at
P20676	DIP-81N	NUP1_YEAST	Nucleoporin NUP1 (Nuclear pore protein NUP1)	NUP1 YOR098C YOR3182C	1076	YOR3182C	YOR098C	---	NUP1	NP_014741.1;	YOR098C;	854265;	YOR098c;	S000005624;	8435_at
Q02821	DIP-728N	IMA1_YEAST	Importin subunit alpha (Karyopherin subunit alpha) (Karyopherin-60) (Serine-rich RNA polymerase I suppressor protein)	SRP1 KAP60 YNL189W N1606	542	N1606	YNL189W	KAP60	SRP1	NP_014210.1;	YNL189W;	855532;	YNL189w;	S000005133;	9070_at
P32499	DIP-859N	NUP2_YEAST	Nucleoporin NUP2 (Nuclear pore protein NUP2) (p95)	NUP2 YLR335W L8300.9	720	L8300.9	YLR335W	---	NUP2	NP_013439.1;	YLR335W;	851048;	YLR335w;	S000004327;	10005_at
P13902	DIP-86N	INO4_YEAST	Protein INO4	INO4 YOL108C HRF151	151	HRF151	YOL108C	---	INO4	NP_014533.1;	YOL108C;	854042;	YOL108c;	S000005468;	8680_at
P26798	DIP-680N	INO2_YEAST	Protein INO2	INO2 DIE1 SCS1 YDR123C YD9727.18C	304	YD9727.18C	YDR123C	DIE1 SCS1	INO2	NP_010408.1;	YDR123C;	851701;	YDR123c;	S000002530;	6358_at
P17119	DIP-75N	KAR3_YEAST	Kinesin-like protein KAR3 (Nuclear fusion protein)	KAR3 YPR141C P9659.16	729	P9659.16	YPR141C	---	KAR3	NP_015467.1;	YPR141C;	856263;	YPR141c;	S000006345;	7584_at
Q01649	DIP-192N	CIK1_YEAST	Spindle pole body-associated protein CIK1 (Chromosome instability and karyogamy protein 1)	CIK1 YMR198W YM9646.11	594	YM9646.11	YMR198W	---	CIK1	NP_013925.1;	YMR198W;	855238;	YMR198w;	S000004811;	9425_at
P07270	DIP-911N	PHO4_YEAST	Phosphate system positive regulatory protein PHO4	PHO4 YFR034C	312	---	YFR034C	---	PHO4	NP_116692.1;	YFR034C;	850594;	YFR034c;	S000001930;	5333_at
P06787	DIP-536N	CALM_YEAST	Calmodulin (CaM)	CMD1 YBR109C YBR0904	147	YBR0904	YBR109C	---	CMD1	NP_009667.1;	YBR109C;	852406;	YBR109c;	S000000313;	7245_at
P32605	DIP-223N	RU1A_YEAST	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A) (Mutant U1 die protein 1)	MUD1 YBR119W YBR0915	298	YBR0915	YBR119W	---	MUD1	NP_009677.1;	YBR119W;	852416;	YBR119w;	S000000323;	7255_at
P39520	DIP-905N	IFH1_YEAST	Protein IFH1 (Ribosomal RNA-processing protein 3)	IFH1 RRP3 YLR223C L8083.9	1085	L8083.9	YLR223C	RRP3	IFH1	NP_013324.1;	YLR223C;	850920;	YLR223c;	S000004213;	10115_at
Q06205	DIP-909N	FKBP4_YEAST	FK506-binding protein 4 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	FPR4 YLR449W L9324.3	392	L9324.3	YLR449W	---	FPR4	NP_013554.3;	YLR449W;	851170;	YLR449w;	S000004441;	9853_at
P53863	DIP-972N	JJJ1_YEAST	J protein JJJ1	JJJ1 YNL227C N1254	590	N1254	YNL227C	---	JJJ1	NP_014172.1;	YNL227C;	855495;	YNL227c;	S000005171;	9075_at
P26570	DIP-557N	PPZ1_YEAST	Serine/threonine-protein phosphatase PP-Z1 (EC 3.1.3.16)	PPZ1 YML016C YM9571.02C	692	YM9571.02C	YML016C	---	PPZ1	NP_013696.1;	YML016C;	854992;	---	S000004478;	9648_at
O13329	DIP-870N	FOB1_YEAST	DNA replication fork-blocking protein FOB1	FOB1 HRM1 YDR110W YD9727.06	566	YD9727.06	YDR110W	HRM1	FOB1	NP_010395.1;	YDR110W;	851688;	---	S000002517;	6390_at
P39723	DIP-868N	SPC72_YEAST	Spindle pole component SPC72	SPC72 LDB4 SPI6 YAL047C FUN42	622	FUN42	YAL047C	LDB4 SPI6	SPC72	NP_009352.2;	YAL047C;	851250;	YAL047c;	S000000045;	11361_at
P25607	DIP-672N	YCZ1_YEAST	Uncharacterized protein YCR101C	YCR101C	182	---	YCR101C	---	---	NP_010025.1;	YCR101C;	850465;	YCR101c;	S000000698;	6796_at
P43611	DIP-912N	OSW7_YEAST	Outer spore wall protein 7	OSW7 YFR039C	510	---	YFR039C	---	OSW7	NP_116697.3;	YFR039C;	850600;	YFR039c;	S000001935;	5338_at
P42937	DIP-885N	YCH1_YEAST	CDC25-like phosphatase YCH1 (EC 3.1.3.-) (CDC25 homolog 1)	YCH1 YGR203W G7731	148	G7731	YGR203W	---	YCH1	NP_011719.1;	YGR203W;	853117;	YGR203w;	S000003435;	4813_at
Q07938	DIP-989N	MTAP_YEAST	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase) (Multicopy enhancer of UAS2)	MEU1 YLR017W L1595	337	L1595	YLR017W	---	MEU1	NP_013117.1;	YLR017W;	850704;	YLR017w;	S000004007;	10313_at
Q05790	DIP-822N	CRR1_YEAST	Probable glycosidase CRR1 (EC 3.2.-.-) (CRH-related protein 1)	CRR1 YLR213C	422	---	YLR213C	---	CRR1	NP_013314.1;	YLR213C;	850910;	YLR213c;	S000004203;	10105_at
Q03677	DIP-877N	MTND_YEAST	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)	ADI1 YMR009W YM8270.12	179	YM8270.12	YMR009W	---	ADI1	NP_013722.1;	YMR009W;	855021;	YMR009w;	S000004611;	9631_at
Q04213	DIP-876N	IOC4_YEAST	ISWI one complex protein 4	IOC4 YMR044W YM9532.09	475	YM9532.09	YMR044W	---	IOC4	NP_013758.1;	YMR044W;	855061;	YMR044w;	S000004647;	9577_at
Q00955	DIP-975N	ACAC_YEAST	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC1 ABP2 FAS3 MTR7 YNR016C N3175	2233	N3175	YNR016C	ABP2 FAS3 MTR7	ACC1	NP_014413.1;	YNR016C;	855750;	YNR016c;	S000005299;	8864_at
Q01722	DIP-732N	GCR2_YEAST	Glycolytic genes transcriptional activator GCR2	GCR2 YNL199C N1374	534	N1374	YNL199C	---	GCR2	NP_014200.1;	YNL199C;	855522;	YNL199c;	S000005143;	9060_at
P32361	DIP-233N	IRE1_YEAST	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	IRE1 ERN1 YHR079C	1115	---	YHR079C	ERN1	IRE1	NP_011946.1;	YHR079C;	856478;	YHR079c;	S000001121;	4459_at;4460_i_at;4461_r_at
P28742	DIP-174N	KIP1_YEAST	Kinesin-like protein KIP1 (Chromosome instability protein 9)	KIP1 CIN9 YBL063W YBL0504 YBL0521	1111	YBL0504 YBL0521	YBL063W	CIN9	KIP1	NP_009490.1;	YBL063W;	852216;	YBL063w;	S000000159;	7433_at
P35191	DIP-764N	MDJ1_YEAST	DnaJ homolog 1, mitochondrial	MDJ1 YFL016C	511	---	YFL016C	---	MDJ1	NP_116638.1;	YFL016C;	850530;	YFL016c;	S000001878;	5370_at
P08964	DIP-808N	MYO1_YEAST	Myosin-1 (Type II myosin)	MYO1 YHR023W	1928	---	YHR023W	---	MYO1	NP_011888.1;	YHR023W;	856418;	YHR023w;	S000001065;	4497_at
P40064	DIP-846N	NU157_YEAST	Nucleoporin NUP157 (Nuclear pore protein NUP157)	NUP157 YER105C	1391	---	YER105C	---	NUP157	NP_011031.1;	YER105C;	856842;	YER105c;	S000000907;	5590_at
P12689	DIP-1000N	REV1_YEAST	DNA repair protein REV1 (EC 2.7.7.-) (Reversionless protein 1)	REV1 YOR346W O6339	985	O6339	YOR346W	---	REV1	NP_014991.1;	YOR346W;	854527;	YOR346w;	S000005873;	8190_at
P22579	DIP-597N	SIN3_YEAST	Transcriptional regulatory protein SIN3	SIN3 CPE1 GAM2 RPD1 SDI1 SDS16 UME4 YOL004W	1536	---	YOL004W	CPE1 GAM2 RPD1 SDI1 SDS16 UME4	SIN3	NP_014639.1;	YOL004W;	854158;	YOL004w;	S000005364;	8558_at
P09547	DIP-1032N	SWI1_YEAST	SWI/SNF chromatin-remodeling complex subunit SWI1 (Regulatory protein GAM3) (SWI/SNF complex subunit SWI1) (Transcription regulatory protein ADR6) (Transcription regulatory protein SWI1)	SWI1 ADR6 GAM3 YPL016W LPA1	1314	LPA1	YPL016W	ADR6 GAM3	SWI1	NP_015309.1;	YPL016W;	856091;	YPL016w;	S000005937;	7782_at
P33315	DIP-757N	TKT2_YEAST	Transketolase 2 (TK 2) (EC 2.2.1.1)	TKL2 YBR117C YBR0912	681	YBR0912	YBR117C	---	TKL2	NP_009675.3;	YBR117C;	852414;	YBR117c;	S000000321;	7254_at
P32639	DIP-850N	BRR2_YEAST	Pre-mRNA-splicing helicase BRR2 (EC 3.6.4.13) (Protein Snu246)	BRR2 RSS1 SNU246 YER172C SYGP-ORF66	2163	SYGP-ORF66	YER172C	RSS1 SNU246	BRR2	NP_011099.1;	YER172C;	856919;	YER172c;	S000000974;	5505_at;5520_at
P21560	DIP-69N	CBP3_YEAST	Protein CBP3, mitochondrial	CBP3 YPL215W P1775	335	P1775	YPL215W	---	CBP3	NP_015109.1;	YPL215W;	855886;	YPL215w;	S000006136;	7989_at
P32828	DIP-727N	SLX5_YEAST	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 (EC 6.3.2.-) (Hexose metabolism-related protein HEX3) (Synthetic lethal of unknown function protein 5)	SLX5 HEX3 YDL013W D2875	619	D2875	YDL013W	HEX3	SLX5	NP_010271.3;	YDL013W;	851549;	YDL013w;	S000002171;	6494_at
Q02554	DIP-910N	CUS1_YEAST	Cold sensitive U2 snRNA suppressor 1	CUS1 YMR240C YM9408.02C	436	YM9408.02C	YMR240C	---	CUS1	NP_013967.1;	YMR240C;	855281;	YMR240c;	S000004853;	9379_at
Q99181	DIP-930N	HSH49_YEAST	Protein HSH49	HSH49 YOR319W O6142	213	O6142	YOR319W	---	HSH49	NP_014964.1;	YOR319W;	854497;	YOR319w;	S000005846;	8209_at
P39102	DIP-990N	XDJ1_YEAST	DnaJ protein homolog XDJ1	XDJ1 YLR090W L9449.3	459	L9449.3	YLR090W	---	XDJ1	NP_013191.1;	YLR090W;	850779;	YLR090w;	S000004080;	10254_at
P53236	DIP-984N	RSC1_YEAST	Chromatin structure-remodeling complex subunit RSC1 (RSC complex subunit RSC1) (Remodel the structure of chromatin complex subunit 1)	RSC1 YGR056W	928	---	YGR056W	---	RSC1	NP_011570.1;	YGR056W;	852947;	YGR056w;	S000003288;	4937_at
P25644	DIP-883N	PAT1_YEAST	DNA topoisomerase 2-associated protein PAT1 (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	796	YCR77C	YCR077C	MRT1	PAT1	NP_010002.3;	YCR077C;	850440;	YCR077c;	S000000673;	6818_at
P39081	DIP-944N	PCF11_YEAST	Protein PCF11 (protein 1 of CF I)	PCF11 YDR228C YD9934.13C	626	YD9934.13C	YDR228C	---	PCF11	NP_010514.3;	YDR228C;	851814;	YDR228c;	S000002636;	6239_at
P39998	DIP-842N	EDC3_YEAST	Enhancer of mRNA-decapping protein 3	EDC3 LSM16 YEL015W	551	---	YEL015W	LSM16	EDC3	NP_010901.1;	YEL015W;	856700;	YEL015w;	S000000741;	5732_at
P53147	DIP-980N	TOS8_YEAST	Homeobox protein TOS8 (Target of SBF 8)	TOS8 YGL096W	276	---	YGL096W	---	TOS8	NP_011419.1;	YGL096W;	852783;	YGL096w;	S000003064;	5101_at
P38768	DIP-807N	PIH1_YEAST	Protein interacting with Hsp90 1 (Nucleolar protein 17)	PIH1 NOP17 YHR034C	344	---	YHR034C	NOP17	PIH1	NP_011899.1;	YHR034C;	856429;	YHR034c;	S000001076;	4508_at
P40438	DIP-841N	VTH1_YEAST	VPS10 homolog 1 (Sortilin VTH1)	VTH1 YIL173W	1549	---	YIL173W	---	VTH1	NP_012095.1;	YIL173W;	854634;	YIL173w;	S000001435;	---
P35198	DIP-803N	MTH1_YEAST	Protein MTH1	MTH1 YDR277C D9954.12	433	D9954.12	YDR277C	---	MTH1	NP_010563.3;	YDR277C;	851870;	YDR277c;	S000002685;	6197_at
P48240	DIP-931N	MTR3_YEAST	Exosome complex component MTR3 (mRNA transport regulator 3)	MTR3 YGR158C G6676	250	G6676	YGR158C	---	MTR3	NP_011674.3;	YGR158C;	853062;	YGR158c;	S000003390;	4859_at
P53742	DIP-976N	NOG2_YEAST	Nucleolar GTP-binding protein 2	NOG2 YNR053C N3484	486	N3484	YNR053C	---	NOG2	NP_014451.1;	YNR053C;	855789;	YNR053c;	S000005336;	8811_at;8812_at
P24384	DIP-655N	PRP22_YEAST	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22 (EC 3.6.4.13)	PRP22 YER013W	1145	---	YER013W	---	PRP22	NP_010929.3;	YER013W;	856732;	YER013w;	S000000815;	5713_at
P35169	DIP-917N	TOR1_YEAST	Serine/threonine-protein kinase TOR1 (EC 2.7.11.1) (Dominant rapamycin resistance protein 1) (Phosphatidylinositol kinase homolog TOR1) (Target of rapamycin kinase 1)	TOR1 DRR1 YJR066W J1803	2470	J1803	YJR066W	DRR1	TOR1	NP_012600.1;	YJR066W;	853529;	YJR066w;	S000003827;	10950_at
P27351	DIP-915N	AP2B_YEAST	AP-2 complex subunit beta (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Clathrin assembly protein large beta chain)	APL1 YAP80 YJR005W J1422	700	J1422	YJR005W	YAP80	APL1	NP_012538.3;	YJR005W;	853461;	YJR005w;	S000003765;	11027_at
Q12510	DIP-1004N	CMR1_YEAST	DNA damage-binding protein CMR1 (Changed mutation rate protein 1)	CMR1 YDL156W D1536	522	D1536	YDL156W	---	CMR1	NP_010125.1;	YDL156W;	851399;	YDL156w;	S000002315;	6619_at
P40467	DIP-820N	ASG1_YEAST	Activator of stress genes 1	ASG1 YIL130W	964	---	YIL130W	---	ASG1	NP_012136.1;	YIL130W;	854676;	YIL130w;	S000001392;	4226_at
Q04746	DIP-874N	KAR5_YEAST	Nuclear fusion protein KAR5 (Factor-induced gene 3 protein) (Karyogamy protein 5)	KAR5 FIG3 YMR065W YM9916.04	504	YM9916.04	YMR065W	FIG3	KAR5	NP_013781.1;	YMR065W;	855087;	YMR065w;	S000004669;	9595_at
P39682	DIP-812N	PRP39_YEAST	Pre-mRNA-processing factor 39	PRP39 YML046W YM9827.06	629	YM9827.06	YML046W	---	PRP39	NP_013667.1;	YML046W;	854960;	YML046w;	S000004509;	9666_at
P32909	DIP-705N	SMY2_YEAST	Protein SMY2 (Suppressor of MYO2-66 protein)	SMY2 YBR172C YBR1233	740	YBR1233	YBR172C	---	SMY2	NP_009731.4;	YBR172C;	852470;	YBR172c;	S000000376;	7174_at
P36084	DIP-758N	MUD2_YEAST	Splicing factor MUD2	MUD2 YKL074C YKL358	527	YKL358	YKL074C	---	MUD2	NP_012849.1;	YKL074C;	853788;	YKL074c;	S000001557;	10667_at
Q06488	DIP-863N	RSC2_YEAST	Chromatin structure-remodeling complex subunit RSC2 (RSC complex subunit RSC2) (Remodel the structure of chromatin complex subunit 2)	RSC2 YLR357W L9638.1	889	L9638.1	YLR357W	---	RSC2	NP_013461.1;	YLR357W;	851071;	YLR357w;	S000004349;	9982_at
P46958	DIP-902N	IDS2_YEAST	IME2-dependent-signaling protein	IDS2 YJL146W J0642	469	J0642	YJL146W	---	IDS2	NP_012389.1;	YJL146W;	853295;	YJL146w;	S000003682;	11147_at
P32843	DIP-678N	YME2_YEAST	Mitochondrial escape protein 2 (Protein RNA12)	YME2 PRP12 RNA12 YMR302C YM9952.04C	850	YM9952.04C	YMR302C	PRP12 RNA12	YME2	NP_014031.1;	YMR302C;	855348;	YMR302c;	S000004917;	9308_at
P39935	DIP-985N	IF4F1_YEAST	Eukaryotic initiation factor 4F subunit p150 (eIF-4F p150) (eIF4F p150) (eIF4G1) (mRNA cap-binding protein complex subunit p150)	TIF4631 YGR162W	952	---	YGR162W	---	TIF4631	NP_011678.3;	YGR162W;	853071;	YGR162w;	S000003394;	4863_at
P39936	DIP-330N	IF4F2_YEAST	Eukaryotic initiation factor 4F subunit p130 (eIF-4F p130) (eIF4F p130) (eIF4G2) (mRNA cap-binding protein complex subunit p130)	TIF4632 YGL049C	914	---	YGL049C	---	TIF4632	NP_011466.1;	YGL049C;	852833;	YGL049c;	S000003017;	5058_at
P38267	DIP-798N	YBW3_YEAST	Putative uncharacterized membrane protein YBR113W	YBR113W YBR0908E	160	YBR0908E	YBR113W	---	---	---	YBR113W;	---	---	S000000317;	7249_at
Q03899	DIP-867N	YD131_YEAST	F-box protein YDR131C	YDR131C	556	---	YDR131C	---	---	NP_010416.1;	YDR131C;	851709;	YDR131c;	S000002538;	6366_at
Q04002	DIP-831N	SCC2_YEAST	Sister chromatid cohesion protein 2	SCC2 YDR180W YD9395.14	1493	YD9395.14	YDR180W	---	SCC2	NP_010466.3;	YDR180W;	851761;	YDR180w;	S000002588;	6282_at
Q04195	DIP-1011N	SIZ1_YEAST	E3 SUMO-protein ligase SIZ1 (EC 6.3.2.-) (SAP and Miz-finger domain-containing protein 1) (Ubiquitin-like protein ligase 1)	SIZ1 ULL1 YDR409W	904	---	YDR409W	ULL1	SIZ1	NP_010697.3;	YDR409W;	852018;	YDR409w;	S000002817;	6060_at
P40071	DIP-849N	TMN3_YEAST	Transmembrane 9 superfamily member 3	TMN3 YER113C	706	---	YER113C	---	TMN3	NP_011038.3;	YER113C;	856849;	YER113c;	S000000915;	5598_at
P36056	DIP-756N	RT22_YEAST	37S ribosomal protein S22, mitochondrial (EC 2.1.1.-)	RSM22 YKL155C YKL610	628	YKL610	YKL155C	---	RSM22	NP_012767.1;	YKL155C;	853701;	YKL155c;	S000001638;	10718_at
Q12431	DIP-988N	EMC6_YEAST	ER membrane protein complex subunit 6	EMC6 YLL014W L1321	108	L1321	YLL014W	---	EMC6	NP_013087.1;	YLL014W;	850646;	YLL014w;	S000003937;	10329_at
P53971	DIP-967N	FAP1_YEAST	FKBP12-associated protein 1	FAP1 YNL023C N2812	965	N2812	YNL023C	---	FAP1	NP_014375.1;	YNL023C;	855708;	YNL023c;	S000004968;	8872_at
Q12471	DIP-958N	6P22_YEAST	6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)	PFK27 YOL136C	397	---	YOL136C	---	PFK27	NP_014505.1;	YOL136C;	853984;	YOL136c;	S000005496;	8698_at
P11075	DIP-830N	SEC7_YEAST	Protein transport protein SEC7	SEC7 YDR170C YD9395.01C YD9489.05C	2009	YD9395.01C YD9489.05C	YDR170C	---	SEC7	NP_010454.3;	YDR170C;	851748;	YDR170c;	S000002577;	6316_at
P25648	DIP-1018N	SRB8_YEAST	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (Suppressor of RNA polymerase B 8)	SRB8 GIG1 MED12 NUT6 SSN5 YCR081W YCR81W/YCR80W	1427	YCR81W/YCR80W	YCR081W	GIG1 MED12 NUT6 SSN5	SRB8	NP_010004.1;	YCR081W;	850442;	YCR081w;	S000000677;	6820_at
P38187	DIP-795N	UBP13_YEAST	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	UBP13 YBL067C YBL0621	747	YBL0621	YBL067C	---	UBP13	NP_009486.3;	YBL067C;	852212;	YBL067c;	S000000163;	7429_at
P36166	DIP-763N	PXL1_YEAST	Paxillin-like protein 1	PXL1 YKR090W	706	---	YKR090W	---	PXL1	NP_013016.4;	YKR090W;	853965;	YKR090w;	S000001798;	10469_at
Q03264	DIP-894N	NGL2_YEAST	RNA exonuclease NGL2 (EC 3.1.-.-) (Carbon catabolite repressor protein 4 homolog)	NGL2 YMR285C YM8021.11C	515	YM8021.11C	YMR285C	---	NGL2	NP_014012.1;	YMR285C;	855329;	YMR285c;	S000004898;	9334_at
Q12411	DIP-921N	MPC70_YEAST	Sporulation-specific protein 21 (Meiotic plaque component protein 70)	SPO21 MPC70 YOL091W	609	---	YOL091W	MPC70	SPO21	NP_014550.1;	YOL091W;	854062;	YOL091w;	S000005451;	8652_at
P32522	DIP-932N	PT309_YEAST	Pentatricopeptide repeat-containing protein PET309, mitochondrial	PET309 YLR067C L2189	965	L2189	YLR067C	---	PET309	NP_013168.1;	YLR067C;	850756;	YLR067c;	S000004057;	10276_at
Q02260	DIP-227N	SMD1_YEAST	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (snRNP core protein D1)	SMD1 YGR074W	146	---	YGR074W	---	SMD1	NP_011588.3;	YGR074W;	852964;	YGR074w;	S000003306;	4955_at
P17121	DIP-1010N	SAC7_YEAST	GTPase-activating protein SAC7	SAC7 YDR389W	654	---	YDR389W	---	SAC7	NP_010677.1;	YDR389W;	851997;	YDR389w;	S000002797;	6086_at
Q02775	DIP-220N	SLU7_YEAST	Pre-mRNA-splicing factor SLU7 (Synthetic lethal with U2 snRNA protein 17) (Synthetic lethal with U5 snRNA protein 7)	SLU7 SLT17 YDR088C D4483	382	D4483	YDR088C	SLT17	SLU7	NP_010373.3;	YDR088C;	851661;	YDR088c;	S000002495;	6412_at
P38227	DIP-797N	QDR3_YEAST	Quinidine resistance protein 3 (Acids quinidine resistance protein 2)	QDR3 AQR2 YBR043C YBR0413	689	YBR0413	YBR043C	AQR2	QDR3	NP_009599.2;	YBR043C;	852331;	YBR043c;	S000000247;	7311_at
P53090	DIP-983N	ARO8_YEAST	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)	ARO8 YGL202W	500	---	YGL202W	---	ARO8	NP_011313.1;	YGL202W;	852672;	YGL202w;	S000003170;	5223_at
